scenario,playback_id,selected_visualizer_strategy,t_ms,input_energy,expanded_energy,final_speaking_energy,adaptive_gain
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,144.0,0.1529,0.4453,0.4583,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,160.0,0.1517,0.4274,0.4479,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,176.0,0.1536,0.4577,0.4655,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,192.0,0.158,0.519,0.501,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,208.0,0.1639,0.5874,0.5407,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,224.0,0.1699,0.6461,0.5748,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,240.0,0.1745,0.6845,0.597,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,256.0,0.1765,0.6991,0.6055,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,272.0,0.1753,0.6873,0.5987,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,288.0,0.1711,0.6494,0.5766,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,304.0,0.1646,0.5862,0.54,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,320.0,0.1572,0.5029,0.4917,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,336.0,0.1503,0.4059,0.4354,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,352.0,0.1454,0.3117,0.3808,10.0
quiet_live_like_envelope,probe-quiet-live-like,playback_envelope_timeline,368.0,0.1434,0.2578,0.3495,10.0
